gene_id,Gene_symbol,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
g17382,Zfp267,439.1862203,494.8964127,452.5692599,505.4726939,483.5437141,470.911821
g17383,Zfp268,21.14244386,12.56879778,0.971178669,14.58094309,10.53472144,26.38730032
g17384,Zfp27,197.009136,180.6764681,181.6104111,246.660954,271.7958132,247.6346645
g17385,Zfp273,74.9595737,87.98158448,33.99125342,78.98010842,53.72707934,73.07252396
g17386,Zfp275,630.4292352,646.507536,738.0957886,590.5281952,547.8055149,494.2544329
g17387,Zfp276,113.4003807,135.1145762,139.8497284,157.9602168,117.9888801,120.7726438
g17388,Zfp277,729.4143133,717.2070235,560.3700921,538.2798158,549.9124592,576.4610223
g17389,Zfp28,162.4124097,142.9700748,136.9361924,250.3061898,261.2610917,241.5452875
g17390,Zfp280b,647.7275984,534.9594556,652.6320657,408.2664066,423.4958019,468.8820287
g17391,Zfp280c,383.4470501,347.9985886,382.6443957,330.5013768,341.3249747,348.109385
g17392,Zfp280d,16.33734299,17.28209695,12.6253227,13.3658645,11.58819358,13.19365016
g17393,Zfp281,786.1145037,732.9180207,735.1822526,633.0559459,750.0721665,669.8314696
g17394,Zfp282,482.4321282,505.1085609,560.3700921,612.3996099,584.6770399,649.5335463
g17395,Zfp286,16.33734299,13.35434764,23.30828806,21.87141464,4.213888576,15.22344249
g17396,Zfp287,135.5038448,158.681072,166.0715524,176.1863957,152.7534609,211.0984025
g17397,Zfp292,1683.707348,1721.925296,1913.221978,1678.023534,1790.902645,1627.89345
g17398,Zfp296,38.44080703,22.78094598,39.81832544,21.87141464,11.58819358,19.28302715
g17399,Zfp3,58.62223072,73.05613711,52.44364814,72.90471546,66.36874507,64.95335463
g17400,Zfp30,58.62223072,58.91623961,67.98250685,76.54995124,102.186798,88.29596645
g17401,Zfp300,47.08998861,33.77864404,33.99125342,18.22617887,20.01597074,17.25323482
